Starting Discriminator Training...
d-step 1 epoch 1 : .......... average_loss = 0.3276, train_acc = 0.8657, val_acc = 0.0100
d-step 1 epoch 2 : .......... average_loss = 0.2915, train_acc = 0.8816, val_acc = 0.0100
d-step 1 epoch 3 : .......... average_loss = 0.2821, train_acc = 0.8842, val_acc = 0.0100
d-step 2 epoch 1 : .......... average_loss = 0.2737, train_acc = 0.8863, val_acc = 0.0050
d-step 2 epoch 2 : .......... average_loss = 0.2672, train_acc = 0.8901, val_acc = 0.0050
d-step 2 epoch 3 : .......... average_loss = 0.2626, train_acc = 0.8924, val_acc = 0.0050
d-step 3 epoch 1 : .......... average_loss = 0.2658, train_acc = 0.8913, val_acc = 0.0100
d-step 3 epoch 2 : .......... average_loss = 0.2610, train_acc = 0.8938, val_acc = 0.0100
d-step 3 epoch 3 : .......... average_loss = 0.2571, train_acc = 0.8934, val_acc = 0.0100
d-step 4 epoch 1 : .......... average_loss = 0.2537, train_acc = 0.8972, val_acc = 0.0050
d-step 4 epoch 2 : .......... average_loss = 0.2502, train_acc = 0.8987, val_acc = 0.0100
d-step 4 epoch 3 : .......... average_loss = 0.2475, train_acc = 0.8984, val_acc = 0.0100
d-step 5 epoch 1 : .......... average_loss = 0.2562, train_acc = 0.8980, val_acc = 0.0100
d-step 5 epoch 2 : .......... average_loss = 0.2524, train_acc = 0.9007, val_acc = 0.0100
d-step 5 epoch 3 : .......... average_loss = 0.2492, train_acc = 0.9022, val_acc = 0.0100
d-step 6 epoch 1 : .......... average_loss = 0.2418, train_acc = 0.9039, val_acc = 0.0100
d-step 6 epoch 2 : .......... average_loss = 0.2381, train_acc = 0.9050, val_acc = 0.0100
d-step 6 epoch 3 : .......... average_loss = 0.2371, train_acc = 0.9045, val_acc = 0.0100
d-step 7 epoch 1 : .......... average_loss = 0.2456, train_acc = 0.9010, val_acc = 0.0050
d-step 7 epoch 2 : .......... average_loss = 0.2429, train_acc = 0.9019, val_acc = 0.0100
d-step 7 epoch 3 : .......... average_loss = 0.2394, train_acc = 0.9048, val_acc = 0.0100
d-step 8 epoch 1 : .......... average_loss = 0.2315, train_acc = 0.9075, val_acc = 0.0100
d-step 8 epoch 2 : .......... average_loss = 0.2281, train_acc = 0.9097, val_acc = 0.0100
d-step 8 epoch 3 : .......... average_loss = 0.2258, train_acc = 0.9107, val_acc = 0.0100
d-step 9 epoch 1 : .......... average_loss = 0.2346, train_acc = 0.9065, val_acc = 0.0100
d-step 9 epoch 2 : .......... average_loss = 0.2316, train_acc = 0.9065, val_acc = 0.0100
d-step 9 epoch 3 : .......... average_loss = 0.2285, train_acc = 0.9092, val_acc = 0.0100
d-step 10 epoch 1 : .......... average_loss = 0.2307, train_acc = 0.9038, val_acc = 0.0100
d-step 10 epoch 2 : .......... average_loss = 0.2274, train_acc = 0.9065, val_acc = 0.0100
d-step 10 epoch 3 : .......... average_loss = 0.2252, train_acc = 0.9073, val_acc = 0.0100
d-step 11 epoch 1 : .......... average_loss = 0.2260, train_acc = 0.9104, val_acc = 0.0100
d-step 11 epoch 2 : .......... average_loss = 0.2232, train_acc = 0.9108, val_acc = 0.0100
d-step 11 epoch 3 : .......... average_loss = 0.2200, train_acc = 0.9124, val_acc = 0.0100
d-step 12 epoch 1 : .......... average_loss = 0.2192, train_acc = 0.9118, val_acc = 0.0100
d-step 12 epoch 2 : .......... average_loss = 0.2164, train_acc = 0.9134, val_acc = 0.0100
d-step 12 epoch 3 : .......... average_loss = 0.2129, train_acc = 0.9157, val_acc = 0.0100
d-step 13 epoch 1 : .......... average_loss = 0.2168, train_acc = 0.9149, val_acc = 0.0100
d-step 13 epoch 2 : .......... average_loss = 0.2135, train_acc = 0.9161, val_acc = 0.0100
d-step 13 epoch 3 : .......... average_loss = 0.2100, train_acc = 0.9163, val_acc = 0.0100
d-step 14 epoch 1 : .......... average_loss = 0.2192, train_acc = 0.9125, val_acc = 0.0100
d-step 14 epoch 2 : .......... average_loss = 0.2146, train_acc = 0.9137, val_acc = 0.0100
d-step 14 epoch 3 : .......... average_loss = 0.2118, train_acc = 0.9155, val_acc = 0.0100
d-step 15 epoch 1 : .......... average_loss = 0.2076, train_acc = 0.9160, val_acc = 0.0100
d-step 15 epoch 2 : .......... average_loss = 0.2058, train_acc = 0.9176, val_acc = 0.0100
d-step 15 epoch 3 : .......... average_loss = 0.2023, train_acc = 0.9201, val_acc = 0.0100
d-step 16 epoch 1 : .......... average_loss = 0.2073, train_acc = 0.9146, val_acc = 0.0100
d-step 16 epoch 2 : .......... average_loss = 0.2032, train_acc = 0.9183, val_acc = 0.0100
d-step 16 epoch 3 : .......... average_loss = 0.2002, train_acc = 0.9190, val_acc = 0.0100
d-step 17 epoch 1 : .......... average_loss = 0.2040, train_acc = 0.9174, val_acc = 0.0100
d-step 17 epoch 2 : .......... average_loss = 0.2010, train_acc = 0.9196, val_acc = 0.0100
d-step 17 epoch 3 : .......... average_loss = 0.1997, train_acc = 0.9206, val_acc = 0.0100
d-step 18 epoch 1 : .......... average_loss = 0.2034, train_acc = 0.9198, val_acc = 0.0100
d-step 18 epoch 2 : .......... average_loss = 0.2008, train_acc = 0.9191, val_acc = 0.0100
d-step 18 epoch 3 : .......... average_loss = 0.1979, train_acc = 0.9208, val_acc = 0.0100
d-step 19 epoch 1 : .......... average_loss = 0.2049, train_acc = 0.9165, val_acc = 0.0100
d-step 19 epoch 2 : .......... average_loss = 0.1998, train_acc = 0.9198, val_acc = 0.0100
d-step 19 epoch 3 : .......... average_loss = 0.1984, train_acc = 0.9205, val_acc = 0.0100
d-step 20 epoch 1 : .......... average_loss = 0.1889, train_acc = 0.9241, val_acc = 0.0100
d-step 20 epoch 2 : .......... average_loss = 0.1874, train_acc = 0.9252, val_acc = 0.0100
d-step 20 epoch 3 : .......... average_loss = 0.1830, train_acc = 0.9265, val_acc = 0.0100
d-step 21 epoch 1 : .......... average_loss = 0.1892, train_acc = 0.9246, val_acc = 0.0100
d-step 21 epoch 2 : .......... average_loss = 0.1881, train_acc = 0.9249, val_acc = 0.0100
d-step 21 epoch 3 : .......... average_loss = 0.1830, train_acc = 0.9270, val_acc = 0.0100
d-step 22 epoch 1 : .......... average_loss = 0.1917, train_acc = 0.9236, val_acc = 0.0100
d-step 22 epoch 2 : .......... average_loss = 0.1877, train_acc = 0.9271, val_acc = 0.0100
d-step 22 epoch 3 : .......... average_loss = 0.1841, train_acc = 0.9281, val_acc = 0.0100
d-step 23 epoch 1 : .......... average_loss = 0.1896, train_acc = 0.9254, val_acc = 0.0100
d-step 23 epoch 2 : .......... average_loss = 0.1859, train_acc = 0.9241, val_acc = 0.0100
d-step 23 epoch 3 : .......... average_loss = 0.1838, train_acc = 0.9264, val_acc = 0.0100
