Average Loss = 0.6628, Train acc = 0.5898
 Average Loss = 0.6186, Train acc = 0.6451
 Average Loss = 0.5890, Train acc = 0.6653
 Average Loss = 0.5706, Train acc = 0.6840
 Average Loss = 0.5418, Train acc = 0.7119
 Average Loss = 0.5124, Train acc = 0.7388
 Average Loss = 0.5078, Train acc = 0.7413
 Average Loss = 0.4863, Train acc = 0.7573
 Average Loss = 0.4702, Train acc = 0.7679
 Average Loss = 0.4595, Train acc = 0.7772
 Average Loss = 0.4404, Train acc = 0.7878
 Average Loss = 0.4275, Train acc = 0.7980
 Average Loss = 0.4310, Train acc = 0.7937
 Average Loss = 0.4160, Train acc = 0.8036
 Average Loss = 0.4050, Train acc = 0.8110
 Average Loss = 0.4080, Train acc = 0.8056
 Average Loss = 0.3953, Train acc = 0.8164
 Average Loss = 0.3851, Train acc = 0.8230
 Average Loss = 0.3907, Train acc = 0.8190
 Average Loss = 0.3792, Train acc = 0.8262
 Average Loss = 0.3713, Train acc = 0.8288
 Average Loss = 0.3866, Train acc = 0.8171
 Average Loss = 0.3756, Train acc = 0.8228
 Average Loss = 0.3679, Train acc = 0.8286
 Average Loss = 0.3664, Train acc = 0.8342
 Average Loss = 0.3553, Train acc = 0.8393
 Average Loss = 0.3485, Train acc = 0.8421
 Average Loss = 0.3547, Train acc = 0.8374
 Average Loss = 0.3458, Train acc = 0.8436
 Average Loss = 0.3346, Train acc = 0.8506
 Average Loss = 0.3479, Train acc = 0.8425
 Average Loss = 0.3378, Train acc = 0.8476
 Average Loss = 0.3296, Train acc = 0.8523
 Average Loss = 0.3416, Train acc = 0.8474
 Average Loss = 0.3301, Train acc = 0.8516
 Average Loss = 0.3224, Train acc = 0.8568
 Average Loss = 0.3262, Train acc = 0.8531
 Average Loss = 0.3150, Train acc = 0.8600
 Average Loss = 0.3085, Train acc = 0.8645
 Average Loss = 0.3138, Train acc = 0.8607
 Average Loss = 0.3035, Train acc = 0.8694
 Average Loss = 0.2968, Train acc = 0.8703
 Average Loss = 0.3129, Train acc = 0.8611
 Average Loss = 0.3025, Train acc = 0.8666
 Average Loss = 0.2959, Train acc = 0.8715
 Average Loss = 0.3015, Train acc = 0.8663
 Average Loss = 0.2884, Train acc = 0.8728
 Average Loss = 0.2855, Train acc = 0.8760
 Average Loss = 0.2931, Train acc = 0.8736
 Average Loss = 0.2842, Train acc = 0.8780
 Average Loss = 0.2777, Train acc = 0.8773
 Average Loss = 0.2920, Train acc = 0.8723
 Average Loss = 0.2814, Train acc = 0.8785
 Average Loss = 0.2738, Train acc = 0.8826
 Average Loss = 0.2779, Train acc = 0.8786
 Average Loss = 0.2713, Train acc = 0.8831
 Average Loss = 0.2628, Train acc = 0.8902
 Average Loss = 0.2749, Train acc = 0.8792
 Average Loss = 0.2655, Train acc = 0.8869
 Average Loss = 0.2571, Train acc = 0.8919
 Average Loss = 0.2713, Train acc = 0.8836
 Average Loss = 0.2652, Train acc = 0.8873
 Average Loss = 0.2548, Train acc = 0.8910
 Average Loss = 0.2553, Train acc = 0.8911
 Average Loss = 0.2495, Train acc = 0.8930
 Average Loss = 0.2433, Train acc = 0.8973
 Average Loss = 0.2616, Train acc = 0.8904
 Average Loss = 0.2512, Train acc = 0.8932
 Average Loss = 0.2440, Train acc = 0.8954
 Average Loss = 0.2558, Train acc = 0.8932
 Average Loss = 0.2442, Train acc = 0.8994
 Average Loss = 0.2382, Train acc = 0.9006
 Average Loss = 0.2512, Train acc = 0.8931
