 Average Loss = 0.6595, Train acc = 0.5884
 Average Loss = 0.4937, Train acc = 0.7658
 Average Loss = 0.3642, Train acc = 0.8462
 Average Loss = 0.3297, Train acc = 0.8651
 Average Loss = 0.2729, Train acc = 0.8948
 Average Loss = 0.2326, Train acc = 0.9125
 Average Loss = 0.2445, Train acc = 0.9072
 Average Loss = 0.2089, Train acc = 0.9229
 Average Loss = 0.1834, Train acc = 0.9375
 Average Loss = 0.1984, Train acc = 0.9271
 Average Loss = 0.1676, Train acc = 0.9426
 Average Loss = 0.1444, Train acc = 0.9521
 Average Loss = 0.1704, Train acc = 0.9393
 Average Loss = 0.1439, Train acc = 0.9513
 Average Loss = 0.1248, Train acc = 0.9611
 Average Loss = 0.1490, Train acc = 0.9490
 Average Loss = 0.1244, Train acc = 0.9590
 Average Loss = 0.1068, Train acc = 0.9681
 Average Loss = 0.1261, Train acc = 0.9583
 Average Loss = 0.1025, Train acc = 0.9679
 Average Loss = 0.0869, Train acc = 0.9739
 Average Loss = 0.1124, Train acc = 0.9631
 Average Loss = 0.0884, Train acc = 0.9732
 Average Loss = 0.0739, Train acc = 0.9796
 Average Loss = 0.1016, Train acc = 0.9688
 Average Loss = 0.0809, Train acc = 0.9767
 Average Loss = 0.0674, Train acc = 0.9822
 Average Loss = 0.0979, Train acc = 0.9695
 Average Loss = 0.0769, Train acc = 0.9772
 Average Loss = 0.0635, Train acc = 0.9825
 Average Loss = 0.0849, Train acc = 0.9741
 Average Loss = 0.0650, Train acc = 0.9815
 Average Loss = 0.0509, Train acc = 0.9876
 Average Loss = 0.0826, Train acc = 0.9768
 Average Loss = 0.0635, Train acc = 0.9834
 Average Loss = 0.0506, Train acc = 0.9881
 Average Loss = 0.0706, Train acc = 0.9786
 Average Loss = 0.0528, Train acc = 0.9852
 Average Loss = 0.0406, Train acc = 0.9897
 Average Loss = 0.0717, Train acc = 0.9804
 Average Loss = 0.0532, Train acc = 0.9860
 Average Loss = 0.0418, Train acc = 0.9901
 Average Loss = 0.0660, Train acc = 0.9822
 Average Loss = 0.0498, Train acc = 0.9881
 Average Loss = 0.0402, Train acc = 0.9912
 Average Loss = 0.0607, Train acc = 0.9836
 Average Loss = 0.0455, Train acc = 0.9889
 Average Loss = 0.0365, Train acc = 0.9915
 Average Loss = 0.0569, Train acc = 0.9851
 Average Loss = 0.0426, Train acc = 0.9891
 Average Loss = 0.0315, Train acc = 0.9931
 Average Loss = 0.0533, Train acc = 0.9868
 Average Loss = 0.0394, Train acc = 0.9910
 Average Loss = 0.0301, Train acc = 0.9940
 Average Loss = 0.0618, Train acc = 0.9842
 Average Loss = 0.0454, Train acc = 0.9895
 Average Loss = 0.0340, Train acc = 0.9923
 Average Loss = 0.0588, Train acc = 0.9852
 Average Loss = 0.0440, Train acc = 0.9895
 Average Loss = 0.0325, Train acc = 0.9933
 Average Loss = 0.0526, Train acc = 0.9864
 Average Loss = 0.0387, Train acc = 0.9914
 Average Loss = 0.0293, Train acc = 0.9939
 Average Loss = 0.0458, Train acc = 0.9886
 Average Loss = 0.0329, Train acc = 0.9923
 Average Loss = 0.0233, Train acc = 0.9953
 Average Loss = 0.0453, Train acc = 0.9884
 Average Loss = 0.0347, Train acc = 0.9906
 Average Loss = 0.0237, Train acc = 0.9947
 Average Loss = 0.0500, Train acc = 0.9873
 Average Loss = 0.0351, Train acc = 0.9920
 Average Loss = 0.0270, Train acc = 0.9945
 Average Loss = 0.0414, Train acc = 0.9892
 Average Loss = 0.0290, Train acc = 0.9934
 Average Loss = 0.0208, Train acc = 0.9957
 Average Loss = 0.0417, Train acc = 0.9902
 Average Loss = 0.0299, Train acc = 0.9933
 Average Loss = 0.0224, Train acc = 0.9955
 Average Loss = 0.0417, Train acc = 0.9903
 Average Loss = 0.0297, Train acc = 0.9935
 Average Loss = 0.0225, Train acc = 0.9956
 Average Loss = 0.0402, Train acc = 0.9909
 Average Loss = 0.0292, Train acc = 0.9940
