d-step 1 epoch 1 : .......... average_loss = 0.6693, train_acc = 0.5928, val_acc = 0.6832
d-step 1 epoch 2 : .......... average_loss = 0.6593, train_acc = 0.6065, val_acc = 0.7129
d-step 1 epoch 3 : .......... average_loss = 0.6547, train_acc = 0.6154, val_acc = 0.7426
d-step 2 epoch 1 : .......... average_loss = 0.6546, train_acc = 0.6140, val_acc = 0.7624
d-step 2 epoch 2 : .......... average_loss = 0.6518, train_acc = 0.6183, val_acc = 0.7723
d-step 2 epoch 3 : .......... average_loss = 0.6486, train_acc = 0.6238, val_acc = 0.7723
d-step 3 epoch 1 : .......... average_loss = 0.6457, train_acc = 0.6289, val_acc = 0.7327
d-step 3 epoch 2 : .......... average_loss = 0.6427, train_acc = 0.6332, val_acc = 0.7327
d-step 3 epoch 3 : .......... average_loss = 0.6392, train_acc = 0.6364, val_acc = 0.7525
d-step 4 epoch 1 : .......... average_loss = 0.6372, train_acc = 0.6363, val_acc = 0.7327
d-step 4 epoch 2 : .......... average_loss = 0.6323, train_acc = 0.6424, val_acc = 0.7624
d-step 4 epoch 3 : .......... average_loss = 0.6260, train_acc = 0.6526, val_acc = 0.8119
d-step 5 epoch 1 : .......... average_loss = 0.6266, train_acc = 0.6524, val_acc = 0.7921
d-step 5 epoch 2 : .......... average_loss = 0.6202, train_acc = 0.6591, val_acc = 0.8020
d-step 5 epoch 3 : .......... average_loss = 0.6117, train_acc = 0.6672, val_acc = 0.8218
d-step 6 epoch 1 : .......... average_loss = 0.6052, train_acc = 0.6720, val_acc = 0.8119
d-step 6 epoch 2 : .......... average_loss = 0.5957, train_acc = 0.6836, val_acc = 0.8020
d-step 6 epoch 3 : .......... average_loss = 0.5882, train_acc = 0.6896, val_acc = 0.7624
d-step 7 epoch 1 : .......... average_loss = 0.5972, train_acc = 0.6769, val_acc = 0.7426
d-step 7 epoch 2 : .......... average_loss = 0.5875, train_acc = 0.6899, val_acc = 0.7525
d-step 7 epoch 3 : .......... average_loss = 0.5786, train_acc = 0.6933, val_acc = 0.7228
d-step 8 epoch 1 : .......... average_loss = 0.5766, train_acc = 0.6965, val_acc = 0.7822
d-step 8 epoch 2 : .......... average_loss = 0.5679, train_acc = 0.7027, val_acc = 0.8119
d-step 8 epoch 3 : .......... average_loss = 0.5612, train_acc = 0.7095, val_acc = 0.8218
d-step 9 epoch 1 : .......... average_loss = 0.5653, train_acc = 0.7046, val_acc = 0.7921
d-step 9 epoch 2 : .......... average_loss = 0.5569, train_acc = 0.7134, val_acc = 0.7921
d-step 9 epoch 3 : .......... average_loss = 0.5489, train_acc = 0.7175, val_acc = 0.8119
d-step 10 epoch 1 : .......... average_loss = 0.5493, train_acc = 0.7162, val_acc = 0.7525
d-step 10 epoch 2 : .......... average_loss = 0.5421, train_acc = 0.7222, val_acc = 0.7624
d-step 10 epoch 3 : .......... average_loss = 0.5347, train_acc = 0.7256, val_acc = 0.7228
d-step 11 epoch 1 : .......... average_loss = 0.5445, train_acc = 0.7210, val_acc = 0.7624
d-step 11 epoch 2 : .......... average_loss = 0.5376, train_acc = 0.7249, val_acc = 0.7129
d-step 11 epoch 3 : .......... average_loss = 0.5289, train_acc = 0.7304, val_acc = 0.7525
d-step 12 epoch 1 : .......... average_loss = 0.5334, train_acc = 0.7266, val_acc = 0.7822
d-step 12 epoch 2 : .......... average_loss = 0.5243, train_acc = 0.7336, val_acc = 0.7921
d-step 12 epoch 3 : .......... average_loss = 0.5165, train_acc = 0.7385, val_acc = 0.8218
d-step 13 epoch 1 : .......... average_loss = 0.5191, train_acc = 0.7352, val_acc = 0.8416
d-step 13 epoch 2 : .......... average_loss = 0.5097, train_acc = 0.7432, val_acc = 0.7624
d-step 13 epoch 3 : .......... average_loss = 0.5062, train_acc = 0.7480, val_acc = 0.7624
d-step 14 epoch 1 : .......... average_loss = 0.5157, train_acc = 0.7405, val_acc = 0.8317
d-step 14 epoch 2 : .......... average_loss = 0.5072, train_acc = 0.7446, val_acc = 0.8317
d-step 14 epoch 3 : .......... average_loss = 0.5028, train_acc = 0.7459, val_acc = 0.8317
