epoch 1 : .......... average_train_NLL = 1.3797, oracle_sample_NLL = 1.8582
epoch 2 : .......... average_train_NLL = 1.3411, oracle_sample_NLL = 1.8578
epoch 3 : .......... average_train_NLL = 1.3376, oracle_sample_NLL = 1.8577
epoch 4 : .......... average_train_NLL = 1.3360, oracle_sample_NLL = 1.8574
epoch 5 : .......... average_train_NLL = 1.3346, oracle_sample_NLL = 1.8571
epoch 6 : .......... average_train_NLL = 1.3332, oracle_sample_NLL = 1.8566
epoch 7 : .......... average_train_NLL = 1.3311, oracle_sample_NLL = 1.8564
epoch 8 : .......... average_train_NLL = 1.3288, oracle_sample_NLL = 1.8564
epoch 9 : .......... average_train_NLL = 1.3262, oracle_sample_NLL = 1.8567
epoch 10 : .......... average_train_NLL = 1.3220, oracle_sample_NLL = 1.8565
epoch 11 : .......... average_train_NLL = 1.3152, oracle_sample_NLL = 1.8559
epoch 12 : .......... average_train_NLL = 1.3073, oracle_sample_NLL = 1.8555
epoch 13 : .......... average_train_NLL = 1.3015, oracle_sample_NLL = 1.8555
epoch 14 : .......... average_train_NLL = 1.2973, oracle_sample_NLL = 1.8554
epoch 15 : .......... average_train_NLL = 1.2938, oracle_sample_NLL = 1.8556
epoch 16 : .......... average_train_NLL = 1.2908, oracle_sample_NLL = 1.8554
epoch 17 : .......... average_train_NLL = 1.2880, oracle_sample_NLL = 1.8556
epoch 18 : .......... average_train_NLL = 1.2858, oracle_sample_NLL = 1.8554
epoch 19 : .......... average_train_NLL = 1.2836, oracle_sample_NLL = 1.8547
epoch 20 : .......... average_train_NLL = 1.2850, oracle_sample_NLL = 1.8557
epoch 21 : .......... average_train_NLL = 1.2802, oracle_sample_NLL = 1.8555
epoch 22 : .......... average_train_NLL = 1.2785, oracle_sample_NLL = 1.8553
epoch 23 : .......... average_train_NLL = 1.2777, oracle_sample_NLL = 1.8558
epoch 24 : .......... average_train_NLL = 1.2760, oracle_sample_NLL = 1.8558
epoch 25 : .......... average_train_NLL = 1.2748, oracle_sample_NLL = 1.8555
epoch 26 : .......... average_train_NLL = 1.2740, oracle_sample_NLL = 1.8552
epoch 27 : .......... average_train_NLL = 1.2722, oracle_sample_NLL = 1.8552
epoch 28 : .......... average_train_NLL = 1.2714, oracle_sample_NLL = 1.8553
epoch 29 : .......... average_train_NLL = 1.2731, oracle_sample_NLL = 1.8553
epoch 30 : .......... average_train_NLL = 1.2691, oracle_sample_NLL = 1.8557
epoch 31 : .......... average_train_NLL = 1.2682, oracle_sample_NLL = 1.8556
epoch 32 : .......... average_train_NLL = 1.2677, oracle_sample_NLL = 1.8554
epoch 33 : .......... average_train_NLL = 1.2664, oracle_sample_NLL = 1.8559
epoch 34 : .......... average_train_NLL = 1.2662, oracle_sample_NLL = 1.8559
epoch 35 : .......... average_train_NLL = 1.2646, oracle_sample_NLL = 1.8558
epoch 36 : .......... average_train_NLL = 1.2631, oracle_sample_NLL = 1.8556
epoch 37 : .......... average_train_NLL = 1.2623, oracle_sample_NLL = 1.8557
epoch 38 : .......... average_train_NLL = 1.2631, oracle_sample_NLL = 1.8558
epoch 39 : .......... average_train_NLL = 1.2613, oracle_sample_NLL = 1.8557
epoch 40 : .......... average_train_NLL = 1.2599, oracle_sample_NLL = 1.8557
epoch 41 : .......... average_train_NLL = 1.2600, oracle_sample_NLL = 1.8557
epoch 42 : .......... average_train_NLL = 1.2585, oracle_sample_NLL = 1.8560
epoch 43 : .......... average_train_NLL = 1.2575, oracle_sample_NLL = 1.8561
epoch 44 : .......... average_train_NLL = 1.2693, oracle_sample_NLL = 1.8554
epoch 45 : .......... average_train_NLL = 1.2568, oracle_sample_NLL = 1.8557
epoch 46 : .......... average_train_NLL = 1.2709, oracle_sample_NLL = 1.8558
epoch 47 : .......... average_train_NLL = 1.2586, oracle_sample_NLL = 1.8560
epoch 48 : .......... average_train_NLL = 1.2559, oracle_sample_NLL = 1.8559
epoch 49 : .......... average_train_NLL = 1.2545, oracle_sample_NLL = 1.8558
epoch 50 : .......... average_train_NLL = 1.2536, oracle_sample_NLL = 1.8555
epoch 51 : .......... average_train_NLL = 1.2528, oracle_sample_NLL = 1.8555
epoch 52 : .......... average_train_NLL = 1.2529, oracle_sample_NLL = 1.8556
epoch 53 : .......... average_train_NLL = 1.2524, oracle_sample_NLL = 1.8553
epoch 54 : .......... average_train_NLL = 1.2517, oracle_sample_NLL = 1.8560
epoch 55 : .......... average_train_NLL = 1.2520, oracle_sample_NLL = 1.8549
epoch 56 : .......... average_train_NLL = 1.2520, oracle_sample_NLL = 1.8554
epoch 57 : .......... average_train_NLL = 1.2507, oracle_sample_NLL = 1.8549
epoch 58 : .......... average_train_NLL = 1.2499, oracle_sample_NLL = 1.8553
epoch 59 : .......... average_train_NLL = 1.2504, oracle_sample_NLL = 1.8551
epoch 60 : .......... average_train_NLL = 1.2493, oracle_sample_NLL = 1.8549
epoch 61 : .......... average_train_NLL = 1.2488, oracle_sample_NLL = 1.8550
epoch 62 : .......... average_train_NLL = 1.2491, oracle_sample_NLL = 1.8545
epoch 63 : .......... average_train_NLL = 1.2482, oracle_sample_NLL = 1.8547
epoch 64 : .......... average_train_NLL = 1.2480, oracle_sample_NLL = 1.8550
epoch 65 : .......... average_train_NLL = 1.2473, oracle_sample_NLL = 1.8552
epoch 66 : .......... average_train_NLL = 1.2468, oracle_sample_NLL = 1.8546
epoch 67 : .......... average_train_NLL = 1.2475, oracle_sample_NLL = 1.8554
epoch 68 : .......... average_train_NLL = 1.2463, oracle_sample_NLL = 1.8551
epoch 69 : .......... average_train_NLL = 1.2458, oracle_sample_NLL = 1.8548
epoch 70 : .......... average_train_NLL = 1.2457, oracle_sample_NLL = 1.8555
epoch 71 : .......... average_train_NLL = 1.2467, oracle_sample_NLL = 1.8550
epoch 72 : .......... average_train_NLL = 1.2453, oracle_sample_NLL = 1.8550
epoch 73 : .......... average_train_NLL = 1.2464, oracle_sample_NLL = 1.8553
epoch 74 : .......... average_train_NLL = 1.2445, oracle_sample_NLL = 1.8557
epoch 75 : .......... average_train_NLL = 1.2452, oracle_sample_NLL = 1.8554
epoch 76 : .......... average_train_NLL = 1.2441, oracle_sample_NLL = 1.8553
epoch 77 : .......... average_train_NLL = 1.2440, oracle_sample_NLL = 1.8550
epoch 78 : .......... average_train_NLL = 1.2468, oracle_sample_NLL = 1.8550
epoch 79 : .......... average_train_NLL = 1.2440, oracle_sample_NLL = 1.8551
epoch 80 : .......... average_train_NLL = 1.2433, oracle_sample_NLL = 1.8553
epoch 81 : .......... average_train_NLL = 1.2441, oracle_sample_NLL = 1.8558
epoch 82 : .......... average_train_NLL = 1.2419, oracle_sample_NLL = 1.8555
epoch 83 : .......... average_train_NLL = 1.2416, oracle_sample_NLL = 1.8549
epoch 84 : .......... average_train_NLL = 1.2413, oracle_sample_NLL = 1.8555
epoch 85 : .......... average_train_NLL = 1.2419, oracle_sample_NLL = 1.8547
epoch 86 : .......... average_train_NLL = 1.2405, oracle_sample_NLL = 1.8554
epoch 87 : .......... average_train_NLL = 1.2687, oracle_sample_NLL = 1.8554
epoch 88 : .......... average_train_NLL = 1.2452, oracle_sample_NLL = 1.8554
epoch 89 : .......... average_train_NLL = 1.2463, oracle_sample_NLL = 1.8552
epoch 90 : .......... average_train_NLL = 1.2405, oracle_sample_NLL = 1.8554
epoch 91 : .......... average_train_NLL = 1.2413, oracle_sample_NLL = 1.8556
epoch 92 : .......... average_train_NLL = 1.2412, oracle_sample_NLL = 1.8556
epoch 93 : .......... average_train_NLL = 1.2403, oracle_sample_NLL = 1.8557
epoch 94 : .......... average_train_NLL = 1.2402, oracle_sample_NLL = 1.8558
epoch 95 : .......... average_train_NLL = 1.2407, oracle_sample_NLL = 1.8556
epoch 96 : .......... average_train_NLL = 1.2392, oracle_sample_NLL = 1.8553
epoch 97 : .......... average_train_NLL = 1.2466, oracle_sample_NLL = 1.8553
epoch 98 : .......... average_train_NLL = 1.2403, oracle_sample_NLL = 1.8557
epoch 99 : .......... average_train_NLL = 1.2386, oracle_sample_NLL = 1.8560
epoch 100 : .......... average_train_NLL = 1.2385, oracle_sample_NLL = 1.8553
